AAA01;;;vřes obecný (<i>Calluna vulgaris</i>)
LEA01;;;borovice lesní (<i>Pinus sylvestris</i>), kostřava ovčí (<i>Festuca ovina</i>), pěchava vápnomilná (<i>Sesleria caerulea</i>), mech (<i>Hylocomium splendens</i>), mech (<i>Pleurozium schreberi</i>)
LFA01;;;borovice lesní (<i>Pinus sylvestris</i>), válečka prapořitá (<i>Brachypodium pinnatum</i>)
LFB01;;;borovice lesní (<i>Pinus sylvestris</i>), lišejník (<i>Cladonia rangiferina</i>)
LFB02;;;borovice lesní (<i>Pinus sylvestris</i>), brusnice borůvka (<i>Vaccinium myrtillus</i>), brusnice brusinka (<i>Vaccinium vitis-idaea</i>), metlička křivolaká (<i>Avenella flexuosa</i>), vřes obecný (<i>Calluna vulgaris</i>), mech (<i>Pleurozium schreberi</i>)
LFB03;;;borovice lesní (<i>Pinus sylvestris</i>), metlička křivolaká (<i>Avenella flexuosa</i>), mech (<i>Ceratodon purpureus</i>), mech (<i>Dicranum scoparium</i>), mech (<i>Polytrichum piliferum</i>)
LFB04;;;borovice lesní (<i>Pinus sylvestris</i>), brusnice borůvka (<i>Vaccinium myrtillus</i>), brusnice brusinka (<i>Vaccinium vitis-idaea</i>), kostřava ovčí (<i>Festuca ovina</i>), metlička křivolaká (<i>Avenella flexuosa</i>), třtina rákosovitá (<i>Calamagrostis arundinacea</i>), vřesovec pleťový (<i>Erica carnea</i>)
LFC01;;;brusnice borůvka (<i>Vaccinium myrtillus</i>), metlička křivolaká (<i>Avenella flexuosa</i>), smrk ztepilý (<i>Picea abies</i>), třtina chloupkatá (<i>Calamagrostis villosa</i>), mech (<i>Polytrichum formosum</i>)
LFC02;;;brusnice borůvka (<i>Vaccinium myrtillus</i>), havez česnáčková (<i>Adenostyles alliariae</i>), papratka horská (<i>Athyrium distentifolium</i>), ptačinec hajní (<i>Stellaria nemorum</i>), smrk ztepilý (<i>Picea abies</i>), šťavel kyselý (<i>Oxalis acetosella</i>), třtina chloupkatá (<i>Calamagrostis villosa</i>), mech (<i>Polytrichum formosum</i>), mech (<i>Sphagnum girgensohnii</i>)
LFC03;;;přeslička lesní (<i>Equisetum sylvaticum</i>), smrk ztepilý (<i>Picea abies</i>), třtina chloupkatá (<i>Calamagrostis villosa</i>), mech (<i>Polytrichum formosum</i>)
LFC04;;;brusnice borůvka (<i>Vaccinium myrtillus</i>), smrk ztepilý (<i>Picea abies</i>), třtina chloupkatá (<i>Calamagrostis villosa</i>), mech (<i>Bazzania trilobata</i>), mech (<i>Dicranum scoparium</i>), mech (<i>Polytrichum commune</i>), mech (<i>Sphagnum girgensohnii</i>)
LFD01;;;bříza bělokorá (<i>Betula pendula</i>), bříza pýřitá (<i>Betula pubescens</i>), okruh bezkolence modrého (<i>Molinia caerulea agg.</i>), suchopýr pochvatý (<i>Eriophorum vaginatum</i>), vřes obecný (<i>Calluna vulgaris</i>), mech (<i>Polytrichum commune</i>), mech (<i>Sphagnum recurvum</i>)
LFD02;;;bezkolenec modrý (<i>Molinia caerulea</i>), borovice lesní (<i>Pinus sylvestris</i>), brusnice borůvka (<i>Vaccinium myrtillus</i>), brusnice vlochyně (<i>Vaccinium uliginosum</i>), rojovník bahenní (<i>Rhododendron tomentosum</i>), mech (<i>Sphagnum capillifolium</i>), mech (<i>Sphagnum recurvum</i>)
LFD03;;;borovice pyrenejská blatka (<i>Pinus uncinata subsp. uliginosa</i>), brusnice borůvka (<i>Vaccinium myrtillus</i>), brusnice vlochyně (<i>Vaccinium uliginosum</i>), bříza pýřitá (<i>Betula pubescens</i>), rojovník bahenní (<i>Rhododendron tomentosum</i>), suchopýr pochvatý (<i>Eriophorum vaginatum</i>), mech (<i>Sphagnum capillifolium</i>), mech (<i>Sphagnum magellanicum</i>), mech (<i>Sphagnum recurvum</i>)
